variable_names,hhtotals,hsize,hsize,hsize,hsize,hsize,hsize,hsize,hinc,hinc,hinc,hinc,hinc
variable_categories,1,1,2,3,4,5,6,7,1,2,3,4,5
geo,,,,,,,,,,,,,
4013105800,2062,453,607,406,198,157,186,55,241,426,788,320,287
4013105900,2061,869,568,242,253,64,28,37,669,575,486,115,216
4013106001,607,207,144,82,84,32,52,6,131,182,269,5,20
4013106002,988,367,282,135,124,70,0,10,193,357,341,26,71
4013106003,1291,383,402,263,160,66,17,0,201,418,446,110,116
4013106100,2529,1086,873,223,250,66,31,0,312,565,659,283,710
4013106200,1199,199,456,225,189,33,77,20,40,74,217,84,784
4013106300,2306,1136,777,163,75,142,0,13,231,477,695,205,698
4013106400,1335,548,517,128,97,34,11,0,85,198,523,159,370
4013106501,1437,499,506,273,60,47,29,23,197,301,527,116,296
4013106502,1822,869,586,193,103,71,0,0,293,408,654,199,268
4013106600,1661,607,548,233,172,89,12,0,146,184,390,161,780
4013106701,1620,621,520,192,124,113,26,24,521,444,412,98,145
4013106702,599,209,199,66,71,43,11,0,79,122,232,52,114
4013106703,934,322,333,110,137,18,2,12,72,180,243,141,298
4013106801,1696,590,433,308,221,100,44,0,560,718,361,53,4
4013106802,1324,447,345,221,115,120,27,49,229,390,448,132,125
4013106900,2078,377,574,235,306,255,121,210,302,499,907,182,188
4013107000,2375,745,521,333,428,178,109,61,627,408,1021,149,170
4013107101,1157,158,259,148,280,164,97,51,273,436,290,88,70
4013107102,1539,225,415,217,310,272,47,53,382,468,437,186,66
4013107201,802,322,104,87,72,101,97,19,186,393,182,32,9
4013107202,1390,151,339,251,267,83,145,154,248,481,509,31,121
4013107300,2166,646,421,442,312,220,63,62,423,724,802,160,57
4013107400,2872,1310,716,262,413,92,61,18,708,883,701,205,375
4013107500,1728,683,626,254,105,60,0,0,156,219,484,262,607
4013107601,1796,906,582,129,86,70,23,0,377,464,512,203,240
4013107602,1380,556,463,177,108,16,35,25,228,211,517,129,295
4013107700,1930,964,478,221,181,49,37,0,120,384,779,290,357
4013107800,1370,656,561,93,8,52,0,0,114,65,398,93,700
4013107900,1862,784,744,122,133,65,14,0,153,297,567,69,776
4013108000,1035,125,369,214,199,70,51,7,25,46,88,41,835
4013108100,772,261,243,66,132,60,6,4,56,84,220,54,358
4013108200,1460,491,473,260,177,40,9,10,102,271,457,160,470
4013108301,1686,695,500,230,209,45,7,0,137,164,419,304,662
4013108302,1565,866,411,176,71,14,25,2,202,317,569,159,318
4013108400,2640,1266,753,315,203,103,0,0,513,384,742,398,603
4013108501,1050,466,295,133,71,76,9,0,121,150,318,271,190
4013108502,2197,1239,635,236,87,0,0,0,241,581,762,252,361
4013108601,1177,500,270,279,66,40,22,0,223,457,349,100,48
4013108602,2380,988,926,180,78,93,115,0,399,561,979,211,230
4013108802,965,464,272,180,37,6,6,0,150,197,396,46,176
4013108901,1235,603,309,116,108,73,26,0,275,330,391,96,143
4013108902,2082,752,660,351,104,130,45,40,538,703,562,164,115
4013109001,1531,442,268,249,296,126,94,56,495,528,438,70,0
4013109002,1468,488,392,174,145,170,73,26,324,637,371,72,64
4013109003,1707,418,369,300,263,158,159,40,485,650,487,49,36
4013109101,875,128,148,132,137,146,109,75,77,265,330,80,123
4013109102,1556,350,296,244,208,217,174,67,200,605,510,93,148
4013109200,1229,518,175,210,165,121,40,0,568,361,213,19,68
4013109300,1130,90,188,141,289,110,126,186,210,379,401,93,47
4013109400,2154,578,343,358,197,175,280,223,844,527,526,110,147
4013109500,1433,241,321,190,256,140,164,121,145,326,685,163,114
4013109601,1395,139,280,155,338,278,91,114,229,375,644,62,85
4013109602,1593,148,290,303,287,233,137,195,282,544,610,70,87
4013109603,1268,136,233,152,257,156,249,85,160,346,504,140,118
4013109604,1016,143,223,148,178,152,114,58,137,350,393,96,40
4013109701,2466,357,567,414,443,323,194,168,710,927,740,29,60
4013109702,1320,144,202,262,188,151,138,235,158,543,508,86,25
4013109703,869,219,167,80,143,169,20,71,198,236,350,37,48
4013109704,605,33,86,102,106,109,96,73,60,161,314,51,19
4013109705,488,38,72,66,121,93,37,61,81,113,183,67,44
4013109801,1100,119,144,190,225,158,170,94,175,396,393,78,58
4013109802,1190,165,260,143,231,95,151,145,129,265,547,129,120
4013109900,1731,284,216,244,358,292,160,177,460,558,602,79,32
4013110001,992,190,152,167,118,194,66,105,270,210,418,69,25
4013110002,1131,222,338,146,136,144,113,32,436,329,282,30,54
4013110100,1694,468,267,199,278,189,176,117,638,517,427,48,64
4013110400,2187,970,538,371,169,91,32,16,196,498,847,237,409
4013110501,1834,1091,526,120,60,0,37,0,303,381,834,103,213
4013110502,1498,838,537,49,53,0,21,0,422,306,380,179,211
4013110600,2068,911,592,324,99,32,0,110,236,384,759,303,386
4013110701,1108,475,282,165,94,85,7,0,239,299,310,160,100
4013110702,1392,495,238,277,168,128,45,41,208,361,450,183,190
4013110801,2171,713,665,424,164,114,20,71,405,635,569,380,182
4013110802,973,346,406,54,109,12,22,24,110,179,357,134,193
4013110901,1611,653,522,252,98,55,8,23,528,443,314,93,233
4013110902,1947,716,527,174,272,147,87,24,438,456,688,93,272
4013111000,1922,710,681,107,329,78,17,0,162,339,512,250,659
4013111100,1714,562,589,252,202,109,0,0,197,222,450,177,668
4013111201,2629,1092,823,244,291,89,43,47,515,725,1076,183,130
4013111202,808,335,180,163,54,48,28,0,171,259,270,73,35
4013111203,848,457,249,64,12,42,24,0,180,304,308,23,33
4013111204,1355,854,374,66,54,0,7,0,149,365,621,100,120
4013111300,2371,797,700,526,138,145,49,16,268,416,931,337,419
4013111401,1460,374,445,203,261,40,86,51,246,602,393,112,107
4013111402,1491,456,361,242,185,117,87,43,263,534,456,126,112
4013111501,510,94,105,52,89,60,52,58,90,227,113,48,32
4013111502,2027,629,591,306,266,100,52,83,451,587,773,114,102
4013111601,1070,303,234,211,180,66,24,52,184,281,395,92,118
4013111602,1553,526,331,144,177,199,49,127,249,552,534,118,100
4013111700,2409,977,713,184,189,133,144,69,371,436,926,152,524
4013111800,1930,768,811,188,141,18,0,4,143,260,393,180,954
4013111900,1026,368,361,190,48,39,20,0,102,88,273,145,418
4013112100,904,183,145,109,97,158,137,75,354,241,231,44,34
4013112201,1115,169,230,198,250,172,53,43,326,364,305,54,66
4013112202,1330,455,363,143,123,78,115,53,391,433,358,97,51
4013112301,1626,508,315,196,229,177,119,82,484,542,457,90,53
4013112302,1947,415,292,204,367,393,183,93,560,655,494,103,135
4013112401,1531,291,189,174,253,306,224,94,247,467,590,98,129
4013112402,1314,103,247,166,353,129,162,154,131,484,550,78,71
4013112502,1291,95,230,223,241,69,210,223,119,425,567,138,42
4013112503,2131,177,329,348,529,389,186,173,223,740,879,114,175
