hid,sample_geo,gqrtotals,gqtotals
2012000285152.00,118,1,1
2012000285362.00,206,1,1
2012000286000.00,130,1,1
2012000286897.00,114,1,1
2012000287245.00,130,1,1
2012000287272.00,700,1,1
2012000288781.00,207,1,1
2012000289234.00,900,1,1
2012000289265.00,700,1,1
2012000289694.00,207,1,1
2012000289951.00,900,1,1
2012000290611.00,134,1,1
2012000290741.00,207,1,1
2012000291532.00,800,1,1
2012000291709.00,205,1,1
2012000292573.00,124,1,1
2012000292613.00,107,1,1
2012000292676.00,800,1,1
2012000292822.00,132,1,1
2012000293485.00,205,1,1
2012000293531.00,803,1,1
2012000293653.00,805,1,1
2012000293752.00,300,1,1
2012000293842.00,800,1,1
2012000294224.00,101,1,1
2012000294234.00,130,1,1
2012000294692.00,208,1,1
2012000295220.00,700,1,1
2012000295369.00,114,1,1
2012000295939.00,207,1,1
2012000295952.00,128,1,1
2012000296001.00,900,1,1
2012000296031.00,134,1,1
2012000296693.00,900,1,1
2012000296979.00,805,1,1
2012000297111.00,205,1,1
2012000297334.00,118,1,1
2012000297474.00,700,1,1
2012000297489.00,805,1,1
2012000297672.00,900,1,1
2012000298754.00,208,1,1
2012000299653.00,900,1,1
2012000300092.00,900,1,1
2012000300908.00,300,1,1
2012000301112.00,202,1,1
2012000301452.00,805,1,1
2012000301905.00,118,1,1
2012000302355.00,206,1,1
2012000302755.00,400,1,1
2012000302831.00,700,1,1
2012000302990.00,126,1,1
2012000303280.00,116,1,1
2012000303451.00,109,1,1
2012000303620.00,134,1,1
2012000303833.00,122,1,1
2012000303874.00,111,1,1
2012000304200.00,206,1,1
2012000304980.00,205,1,1
2012000305296.00,132,1,1
2012000306030.00,400,1,1
2012000306276.00,134,1,1
2012000306656.00,700,1,1
2012000306797.00,900,1,1
2012000306841.00,123,1,1
2012000306893.00,207,1,1
2012000309050.00,203,1,1
2012000309060.00,131,1,1
2012000309225.00,500,1,1
2012000309735.00,129,1,1
2012000309744.00,805,1,1
2012000309968.00,124,1,1
2012000310195.00,115,1,1
2012000311227.00,109,1,1
2012000311591.00,805,1,1
2012000312259.00,132,1,1
2012000312995.00,204,1,1
2012000313088.00,115,1,1
2012000313461.00,800,1,1
2012000314002.00,119,1,1
2012000314133.00,700,1,1
2012000314607.00,400,1,1
2012000314609.00,131,1,1
2012000314741.00,120,1,1
2012000314771.00,700,1,1
2012000315670.00,113,1,1
2012000315853.00,132,1,1
2012000317411.00,107,1,1
2012000318396.00,805,1,1
2012000319072.00,102,1,1
2012000319331.00,109,1,1
2012000319955.00,900,1,1
2012000320096.00,600,1,1
2012000322626.00,132,1,1
2012000322978.00,805,1,1
2012000323048.00,103,1,1
2012000323122.00,134,1,1
2012000324161.00,805,1,1
2012000324289.00,118,1,1
2012000324718.00,205,1,1
2012000324936.00,110,1,1
2012000325066.00,109,1,1
2012000325137.00,132,1,1
2012000325235.00,119,1,1
2012000325274.00,134,1,1
2012000325540.00,207,1,1
2012000325823.00,209,1,1
2012000325964.00,107,1,1
2012000326142.00,800,1,1
2012000326770.00,805,1,1
2012000326856.00,207,1,1
2012000327047.00,300,1,1
2012000327303.00,900,1,1
2012000327328.00,900,1,1
2012000327533.00,119,1,1
2012000329054.00,108,1,1
2012000329520.00,207,1,1
2012000329572.00,400,1,1
2012000330434.00,207,1,1
2012000330700.00,106,1,1
2012000331192.00,500,1,1
2012000331250.00,116,1,1
2012000331539.00,800,1,1
2012000331705.00,205,1,1
2012000331760.00,103,1,1
2012000332581.00,206,1,1
2012000332950.00,805,1,1
2012000333276.00,119,1,1
2012000333409.00,109,1,1
2012000333685.00,300,1,1
2012000334307.00,103,1,1
2012000334574.00,900,1,1
2012000335343.00,600,1,1
2012000336440.00,125,1,1
2012000336982.00,206,1,1
2012000337289.00,600,1,1
2012000337753.00,119,1,1
2012000337936.00,400,1,1
2012000339051.00,208,1,1
2012000339568.00,126,1,1
2012000339670.00,805,1,1
2012000339841.00,805,1,1
2012000340020.00,121,1,1
2012000340832.00,115,1,1
2012000341339.00,130,1,1
2012000341371.00,400,1,1
2012000341446.00,134,1,1
2012000341774.00,119,1,1
2012000342653.00,129,1,1
2012000343041.00,600,1,1
2012000343081.00,900,1,1
2012000343233.00,132,1,1
2012000343252.00,205,1,1
2012000343287.00,805,1,1
2012000343357.00,805,1,1
2012000343582.00,109,1,1
2012000343705.00,132,1,1
2012000344010.00,117,1,1
2012000344771.00,119,1,1
2012000344935.00,600,1,1
2012000345317.00,132,1,1
2012000345549.00,205,1,1
2012000346866.00,805,1,1
2012000347250.00,805,1,1
2012000347484.00,119,1,1
2012000347995.00,207,1,1
2012000348956.00,126,1,1
2012000349169.00,800,1,1
2012000349602.00,130,1,1
2012000350305.00,207,1,1
2012000350655.00,500,1,1
2012000350932.00,207,1,1
2012000351161.00,204,1,1
2012000351774.00,127,1,1
2012000351931.00,126,1,1
2012000353329.00,104,1,1
2012000353666.00,205,1,1
2012000354391.00,900,1,1
2012000355156.00,125,1,1
2012000355245.00,805,1,1
2012000355374.00,204,1,1
2012000356085.00,205,1,1
2012000356689.00,803,1,1
2012000357336.00,400,1,1
2012000357382.00,101,1,1
2012000357627.00,400,1,1
2012000357634.00,118,1,1
2012000357644.00,805,1,1
2012000357899.00,109,1,1
2012000358136.00,132,1,1
2012000358705.00,129,1,1
2012000359013.00,807,1,1
2012000359200.00,600,1,1
2012000359234.00,119,1,1
2012000359276.00,805,1,1
2012000359562.00,600,1,1
2012000359716.00,205,1,1
2012000360021.00,119,1,1
2012000360116.00,700,1,1
2012000360484.00,805,1,1
2012000360542.00,206,1,1
2012000361926.00,134,1,1
2012000362671.00,118,1,1
2012000362700.00,100,1,1
2012000363798.00,122,1,1
2012000363839.00,500,1,1
2012000364778.00,132,1,1
2012000365644.00,805,1,1
2012000365880.00,127,1,1
2012000366394.00,207,1,1
2012000366482.00,700,1,1
2012000366932.00,113,1,1
2012000367105.00,110,1,1
2012000367967.00,900,1,1
2012000368067.00,805,1,1
2012000368151.00,108,1,1
2012000368978.00,400,1,1
2012000370075.00,600,1,1
2012000370203.00,102,1,1
2012000370798.00,102,1,1
2012000370879.00,400,1,1
2012000371100.00,300,1,1
2012000371226.00,900,1,1
2012000371376.00,115,1,1
2012000371911.00,132,1,1
2012000372153.00,600,1,1
2012000372333.00,134,1,1
2012000372519.00,805,1,1
2012000372780.00,205,1,1
2012000373973.00,132,1,1
2012000374099.00,126,1,1
2012000374476.00,805,1,1
2012000374747.00,205,1,1
2012000375087.00,805,1,1
2012000377732.00,122,1,1
2012000379280.00,400,1,1
2012000379369.00,805,1,1
2012000379597.00,112,1,1
2012000379856.00,116,1,1
2012000380678.00,207,1,1
2012000381640.00,400,1,1
2012000382913.00,124,1,1
2012000383501.00,106,1,1
2012000384174.00,500,1,1
2012000384620.00,204,1,1
2012000384676.00,400,1,1
2012000385021.00,400,1,1
2012000385653.00,119,1,1
2012000386019.00,104,1,1
2012000386294.00,805,1,1
2012000386313.00,119,1,1
2012000386868.00,202,1,1
2012000387988.00,805,1,1
2012000388296.00,800,1,1
2012000388445.00,113,1,1
2012000389057.00,118,1,1
2012000389186.00,805,1,1
2012000389564.00,700,1,1
2012000391250.00,128,1,1
2012000391577.00,134,1,1
2012000392258.00,805,1,1
2012000392780.00,204,1,1
2012000393602.00,132,1,1
2012000393912.00,108,1,1
2012000394643.00,207,1,1
2012000395740.00,118,1,1
2012000397417.00,109,1,1
2012000400203.00,110,1,1
2012000400765.00,207,1,1
2012000400807.00,805,1,1
2012000400874.00,900,1,1
2012000400998.00,900,1,1
2012000401050.00,805,1,1
2012000401897.00,104,1,1
2012000402016.00,400,1,1
